Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
10. Shinichi Itoh ( Japan ) Honda 1:51.857	O B-PER E-PER O S-LOC O S-ORG O
He was shot on Wednesday afternoon as he stepped off a bus near his family home in the village of Donje Ljupce in the municipality of Podujevo .	O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O S-LOC O
Carlos Costa ( Spain ) vs. Magnus Gustafsson ( Sweden )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
FRANKFURT 2,555.16 - 2.10 2,583.49 ) 2,284.86	S-LOC O O O O O O
Analysts hold Dutch PTT estimates .	O O B-ORG E-ORG O O
JAKARTA 1996-08-27	S-LOC O
At Florida , Kevin Brown scattered seven hits over eight innings and Kurt Abbott snapped a sixth-inning tie with a two-run double as the Florida Marlins defeated the tired Cincinnati Reds 5-3 .	O S-LOC O B-PER E-PER O O O O O O O B-PER E-PER O O O O O O O O O O B-ORG E-ORG O O O B-ORG E-ORG O O
( $ =1,000 Guinean francs )	O O O S-MISC O O
CYCLING - COLONNA WINS FIRST STAGE OF TOUR OF NETHERLANDS .	O O S-PER O O O O B-MISC I-MISC E-MISC O
The exiled National Democratic Alliance , a Sudanese umbrella opposition group , has its headquarters in the Eritrean capital Asmara .	O O B-ORG I-ORG E-ORG O O S-MISC O O O O O O O O O S-MISC O S-LOC O
RAMALLAH , West Bank 1996-08-28	S-LOC O B-LOC E-LOC O
13. Johnny Herbert ( Britain ) 4	O B-PER E-PER O S-LOC O O
eight minutes one second	O O O O
MILAN 1996-08-25	S-LOC O
Saeed in his comments did not threaten to call off the deal and the U.N. officials said they expected it to go into force next month after Secretary-General Boutros Boutros-Ghali reports that arrangements are in place .	S-PER O O O O O O O O O O O O O S-ORG O O O O O O O O O O O O O B-PER E-PER O O O O O O O
Death toll of Algeria bomb put at seven-newspaper .	O O O S-LOC O O O O O
BELGRADE 1996-08-25	S-LOC O
Bodo / Glimt 20 7 4 9 33 41 25	B-ORG I-ORG E-ORG O O O O O O O
U.S. Midwest hog market seen steady Tuesday - trade .	B-LOC E-LOC O O O O O O O O
OB 1 Lotte 1	S-ORG O S-PER O
PRESS DIGEST - Jordan - Aug 25 .	O O O S-LOC O O O O
SARAJEVO 1996-08-22	S-LOC O
Tight bowling from Glamorgan off-spinner Robert Croft helped England to restrict Pakistan to 225 for five in their 50 overs in the first one-day international at Old Trafford on Thursday .	O O O S-ORG O B-PER E-PER O S-LOC O O S-LOC O O O O O O O O O O O O O O B-LOC E-LOC O O O
He said Australian diplomats in Nairobi were working with the Roman Catholic church in southern Sudan and with U.S. and Italian diplomats in the region to help free the missionaries .	O O S-MISC O O S-LOC O O O O B-MISC E-MISC O O O S-LOC O O S-LOC O S-MISC O O O O O O O O O O
WESTERN DIVISION	B-MISC E-MISC
Result of	O O
But the spokesman said subsequent tests in Cologne proved his body produced higher-than-average testosterone levels naturally .	O O O O O O O S-LOC O O O O O O O O O
Richard Gephardt -- Gephardt , House Democratic leader , is a politician with a " Mr Clean " reputation who sought the presidency eight years ago and is widely believed to still have ambitions for the job .	B-PER E-PER O S-PER O S-ORG S-MISC O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O
LAGOS 1996-05-28	S-LOC O
Results of Portuguese first	O O S-MISC O
Buducnost 3 1 0 2 3 5 3	S-ORG O O O O O O O
million NEC World Series of Golf after the second round was	O B-MISC I-MISC I-MISC I-MISC E-MISC O O O O O
Belgium bank sanctions $ 6.5 mln loan to India WSRL .	S-LOC O O O O O O O S-LOC S-ORG O
1. Frankie Fredericks ( Namibia ) 19.92 seconds	O B-PER E-PER O S-LOC O O O
LONDON 1996-08-28	S-LOC O
" These ( African ) brothers should have been the first to bind the wounds of Burundi , " Terence said of the economic embargo . "	O O O S-MISC O O O O O O O O O O O O S-LOC O O S-PER O O O O O O O
M1 money supply ( bln taka ) 144.5 139.3 131.7	O O O O O O O O O O
BANGKOK 1996-08-29	S-LOC O
Random Lengths quoted cash spruce at $ 419 per tbf , up $ 5 from last Friday and $ 7 over the last midweek quote .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Atletico Madrid - Esnaider ( 37th ) , Pantic ( 57th , penalty )	B-ORG E-ORG O S-PER O O O O S-PER O O O O O
" What happened is history . "	O O O O O O O
Paris St Germain 1 ( Loko 33rd ) Nantes 0 .	B-ORG I-ORG E-ORG O O S-PER O O S-ORG O O
2. Lance Armstrong ( U.S. ) Motorola 1 second behind	O B-PER E-PER O S-LOC O S-ORG O O O
No one was hurt .	O O O O O
- Aleix Vidal-Quadras - Catalan nationalists are demanding my defenestration	O B-PER E-PER O S-MISC O O O O O
Nice 1 ( Chaouch 64th ) Guingamp 2 ( Rouxel 10th , Baret 89th ) .	S-ORG O O S-PER O O S-ORG O O S-PER O O S-PER O O O
The key three-month rate was steady at 3.40 percent .	O O O O O O O O O O
Eager to put Lauck behind bars quickly and avoid a long and complex trial , prosecutor Bernd Mauruschat limited his charges to offences since 1994 .	O O O S-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O O
Wasim becomes the 11th player to join the 300-club of	S-PER O O O O O O O O O
Mutola looked threatening in the final 200 metres but the Russian found an extra gear to power home several strides ahead , pointing at the time on the clock with delight as she crossed the line .	S-PER O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O
The magazines named the woman as Fili Houteman , a 26-year-old French singer and dancer in a Belgian cabaret club .	O O O O O O B-PER E-PER O O O S-MISC O O O O O S-MISC O O O
CYCLING - BUGNO CLEARED OF DOPING .	O O S-PER O O O O
Dutroux , 39 , who was charged last week with the abduction and illegal imprisonment of two girls aged 14 and 12 , is also suspected in the disappearance of Belgians An Marchal , 19 , and Eefje Lambrecks , 17 , who went missing a year ago .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O
Although Christie , who is not racing the individual 100 metres in Berlin , took his time to agree to run , the veteran was clearly delighted to be part of the tribute to the black American .	O S-PER O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O S-MISC O
At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds	O S-LOC O S-ORG O O B-PER E-PER O O B-PER E-PER
A second man and two women also were being sought .	O O O O O O O O O O O
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	O O O O O O O O O O S-MISC O O S-LOC O O O O O O O O O O O O O O O O O O
Hanwha 56 1 48 .538 7	S-ORG O O O O O
SOCCER - ROMANIAN FIRST DIVISION RESULTS / STANDINGS .	O O S-MISC O O O O O O
Internet Startup , which opened its doors with about half a dozen initial employees , combines experience at JavaSoft , Apple Computer Inc. , and Oracle Systems .	B-ORG E-ORG O O O O O O O O O O O O O O O O S-ORG O B-ORG I-ORG E-ORG O O B-ORG E-ORG O
" We 've been working all year on my follow-through , and I really concentrated on that , " VanLandingham said . "	O O O O O O O O O O O O O O O O O O O S-PER O O O
JYVASKLYA , Finland 1996-08-25	S-LOC O S-LOC O
He said the lifestyle associated with being Miss Universe could make routine exercise difficult .	O O O O O O O B-MISC E-MISC O O O O O O
30,000 .	O O
Investigators arrested a senior police detective on Sunday in connection with their inquiries into Belgium 's child sex scandal , Public Prosecutor Michel Bourlet said .	O O O O O O O O O O O O O O S-LOC O O O O O O O B-PER E-PER O O
Scorers :	O O
SAN DIEGO 70 60 .538 -	B-ORG E-ORG O O O O
Clydebank 1 Stirling 0	S-ORG O S-ORG O
Professor Tom Lodge of the University of the Witwatersrand demurred , saying :	O B-PER E-PER O O B-ORG I-ORG I-ORG E-ORG O O O O
UAG 3 0 0 3 1 8 0	S-ORG O O O O O O O
Cash markets are also expected to be quiet after the record amount of feedlot cattle traded this week , they said .	O O O O O O O O O O O O O O O O O O O O O O
5 - Gabriela Sabatini ( Argentina ) beat Asa Carlsson ( Sweden )	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
HELIBOR INTEREST RATES LARGELY UNCHANGED .	S-MISC O O O O O
TENNIS - HUBER AND MALEEVA FALL , UP-AND-COMERS ADVANCE AT OPEN .	O O S-PER O S-PER O O O O O S-MISC O
M. Slater c P. Strang b Whittall 50	B-PER E-PER O B-PER E-PER O S-PER O
East Stirling , Inverness v Alloa , Montrose v Ross County ,	B-ORG E-ORG O S-ORG O S-ORG O S-ORG O B-ORG E-ORG O
Marcos LM600 162	B-MISC I-MISC E-MISC
Haitai 10 Hanwha 4	S-ORG O S-ORG O
" Before when I was on tour , I always felt I had to be in bed by 9:30 or 10 o'clock and I had to be up at a certain time , " Rafter said . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O
6. Owen-Jones , Raphanel 82	O S-PER O S-PER O
- domestic price expectations * 0 - 1 +6 +4	O O O O O O O O O O
Our not signing a new treaty does not mean we are going in for any new kind of weapons , particularly nuclear . "	O O O O O O O O O O O O O O O O O O O O O O O O
Played Friday :	O O O
Famous names like Tarmac Plc , Costain Group Plc and ARC , a unit of conglomerate Hanson Plc , have all been targeted .	O O O B-ORG E-ORG O B-ORG I-ORG E-ORG O S-ORG O O O O O B-ORG E-ORG O O O O O O
Outlook for a bullish cattle-on-feed report is also expected to lend support and prompt some bull spreading , analysts said .	O O O O O O O O O O O O O O O O O O O O O
They are talking to him now about the motive and everything else . "	O O O O O O O O O O O O O O
NEW YORK 1996-08-22	B-LOC E-LOC O
Seven churches joined voices on Wednesday to condemn the " day-to-day violence " of Brazil 's rural hinterland and the government 's failure to punish those responsible for massacres of landless peasants .	O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER	O B-ORG E-ORG O O O O
The German government hailed the conviction as a major victory in the fight against neo-Nazism .	O S-MISC O O O O O O O O O O O O S-MISC O
PHILADELPHIA AT SAN FRANCISCO	S-ORG O B-LOC E-LOC
Faure beat Dubnicoff 2-0 ( 12.112 / 12.246 )	S-PER O S-PER O O O O O O
Czech Republic 1 0 0 1 3 7 0	B-LOC E-LOC O O O O O O O
Brentford 2 Gillingham 0	S-ORG O S-ORG O
Doctor Masserigne Ndiaye said medical staff were overwhelmed with work . "	O B-PER E-PER O O O O O O O O O
TENNIS - REVISED MEN 'S DRAW FOR U.S. OPEN .	O O O O O O O B-MISC E-MISC O
Of that amount , 4.05 million and 5.67 million shares will be allocated to the company 's trade creditors .	O O O O O O O O O O O O O O O O O O O O
Haldtime 0-0 .	O O O
Ukraine celebrates five years of independence from Kremlin rule on Saturday , hailing civil and inter-ethnic peace as its main post-Soviet achievement .	S-LOC O O O O O O S-LOC O O O O O O O O O O O O S-MISC O O
One trader said trading in MFS options had increased steadily from about mid-August , and doubted whether any of last Friday 's activity was insider trading .	O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O
The victim was Dai Houying , who wrote about China 's 1966-76 leftist Cultural Revolution and the lives of Chinese intellectuals , the official said .	O O O B-PER E-PER O O O O S-LOC O O O B-MISC E-MISC O O O O S-MISC O O O O O O
" I think I 'm much more focused on what I have to do , and that 's playing tennis , " Medvedev said after routing Frenchman Jean-Philippe Fleurian 6-2 6-0 6-1 in the opening round of the U.S. Open .	O O O O O O O O O O O O O O O O O O O O O O S-PER O O O S-MISC B-PER E-PER O O O O O O O O O B-MISC E-MISC O
Fortuna Sittard 2 ( Jeffrey 7 , Roest 33 ) Heerenveen 4 ( Korneev	B-ORG E-ORG O O S-PER O O S-PER O O S-ORG O O S-PER
The unseeded Swede struck quickly , breaking Krajicek in the first game and never let loose his grip on the one hour 44 minute match as he served and volleyed with the grace that made him one of the dominant players of his time .	O O S-MISC O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Banks do not want to hold big U.S. dollar positions at this moment , " said one dealer , adding that the rate was likely to hover around current levels .	O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
MONTREAL AT SAN FRANCISCO	S-ORG O B-LOC E-LOC
PARIS 1996-08-27	S-LOC O
- Secondhand tonnage brokers reported the sale of the following vessels .	O O O O O O O O O O O O
Health officials said on Thursday they were investigating the discovery of an amputated foot on a beach near Charleston to determine whether a local surgeon had improperly disposed of infectious waste .	O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O
" With high-yielding markets Italy will be a lot more vulnerable in September on economic and political fronts , so I would use current the low level of vol to buy options .	O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1. Derrick Adkins ( U.S. ) 47.93 seconds	O B-PER E-PER O S-LOC O O O
delivered to consumer	O O O
Scorer : Ilian Simeonov ( 58th )	O O B-PER E-PER O O O
BOSTON 64 64 .500 9	S-ORG O O O O
The referee could not have seen it or he would have punished him , " Gress said .	O O O O O O O O O O O O O O O S-PER O O
" I think I did n't play that bad today .	O O O O O O O O O O O
9. Martin Brundle ( Britain ) Jordan 1:55.385	O B-PER E-PER O S-LOC O S-ORG O
Schalke 04 4 0 3 1 5 9 3	B-ORG E-ORG O O O O O O O
Bucharest and Budapest say the treaty should be signed in the first half of September .	S-LOC O S-LOC O O O O O O O O O O O O O
A lower court issued the injunction on Friday and ordered Lloyd 's to give investors , known as Names , more information before requiring them to decide whether to accept a settlement offer as part of a reorganisation plan .	O O O O O O O O O O B-ORG E-ORG O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O
behind	O
Copper scrap , Midwest and East coast average price ,	O O O S-LOC O B-LOC E-LOC O O O
The following is a list of	O O O O O O
The commission , which has the power to grant amnesty to those who confess to abuses , has begun hearing the testimony from people already in jail for their deeds .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
- The government is facing extreme difficulties in meeting its revenue collections targets for 1996/97 .	O O O O O O O O O O O O O O O O
The president 's office said in a statement that Lands Minister Luminzu Shimaponda had been appointed Legal Affairs Minister , while Deputy Foreign Minister Peter Machungwa would take over from Shimaponda .	O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O B-PER E-PER O O O O S-PER O
1. Tommi Makinen ( Finland ) Mitsubishi Lancer three hours	O B-PER E-PER O S-LOC O B-MISC E-MISC O O
Women 's world sprint championship quarter-finals ( best of	O O O O O O O O O
-- Tokyo Commodities Desk ( 81-3 3432 6179 )	O B-ORG I-ORG E-ORG O O O O O
Women 's singles	O O O
Police have declared an " emergent situation " in the area , giving them powers to raid houses , search cars , close schools , quarantine the area and evacuate people .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Halftime 0-1 .	O O O
Figures released two weeks ago from Japan 's seven largest mills already showed that Japan 's can sheet output reached its highest monthly level ever in July , reflecting above-average temperatures that sparked a jump in beer consumption .	O O O O O O S-LOC O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
Aamir Sohail c Cork b Croft 46	B-PER E-PER O S-PER O S-PER O
Ijaya Indra ( Indonesia ) beat P. Kantharoopan ( Malaysia ) 15-6 5-4	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Cologne 3 3 0 0 7 1 9	S-ORG O O O O O O O
N. Hussain lbw b Mushtaq Ahmed 51	B-PER E-PER O O B-PER E-PER O
Portsmouth 2 0 0 2 2 5 0	S-ORG O O O O O O O
India will continue to hold the key to the middle distillates product market in the Middle East Gulf in the short term , traders in the region said on Thursday .	S-LOC O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O O O O O O O O O O O O O
division soccer match on Friday :	O O O O O O
" The main point of this rally is to highlight to the world powers what misfortune they brought upon us , " said Reuf Mehemdagic , head of Doboj municipality-in-exile .	O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O S-LOC O O
The volcano in the Soufriere hills has erupted three times in the past 13 months and last April some 4,500 people living in the capital , Plymouth , and southern areas were evacuated to the north , where many are living in public shelters and schools .	O O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O
" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , " he said . "	O O O O S-LOC O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O
Vermont Central Hospital spokesman Dan Pudvah said two of the injured were treated there -- the truck driver , who was suffering from multiple trauma injuries , and a passenger .	B-LOC I-LOC E-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O
U.S. embassy officials in Colombo were not immediately available to comment on the report .	S-LOC O O O S-LOC O O O O O O O O O O
